Id_Data,Id_Place,Basin,Sub_Basin,Stand_Code,Bank,Cod_Plg,LW_Presence,Dead_Wood,Sinuosity,Width_Mean,Lat_Connectivity,Gradient (%),SPI / Width,SPI,Lentgh (m),Standing_Dead_Trees,Regeneration,Basal_Area (m2/ha),P50_Height,Height_IQR,HardWood_Ab,SoftWood_Ab,Pioneers_Ab,Shrubs_Ab,Brambles_Ab,Invasive_Ab,MaxDiamClass,DiamComplex,StructuralIndex,Basin_Code,Bank_Code,is_headwater,d_Sinuosity,d_Gradient_pct,d_Width_Mean,d_SPI_Width,d_Basal_Area,d_P50_Height,d_Height_IQR,d_StructuralIndex,up_Standing_Dead_Trees,up_Dead_Wood,up_Regeneration,up_Lat_Connectivity,up_LW_Presence
40,20,Arve,Giffre,A-G3,Right ,A-G3-Right,1,2,1.07,33.0,4,1.00,5.0,164.9,4487,1,1,22,19.35,9.675,1,3,0,1,0,0,4,4,0.815355104,0,1,0,-0.024,-0.580748005,10.09642857,-4.529913047,0,-0.75,-2.125,-0.02632738,3,3,2,4,2
41,21,Arve,Giffre,A-G4,Left ,A-G4-Left,2,2,1.083,75.3,4,0.70,1.7,126.0,7013,3,4,16,17.2,8.025,1,2,1,0,1,0,3,3,0.816517105,0,0,0,0.012,-0.304194849,42.37911429,-3.332757517,-5,-4.4,-4.475,-0.006750819,4,4,2,4,1
42,21,Arve,Giffre,A-G4,Right ,A-G4-Right,2,3,1.08,75.3,4,0.70,1.7,126.0,7013,3,2,26,17.2,8.7,1,5,1,1,2,0,4,4,0.956561315,0,1,0,0.012,-0.304194849,42.37911429,-3.332757517,4,-2.15,-0.975,0.14120621,1,2,1,4,1
43,22,Arve,Giffre,A-G5,Left ,A-G5-Left,2,3,1.089,64.5,4,0.40,1.3,83.8,4273,4,3,26,17.5,15.9,1,5,0,3,1,0,5,4,0.881759935,0,0,0,0.006,-0.300855464,-10.8479,-0.372666766,10,0.3,7.875,0.06524283,3,2,4,4,4
44,22,Arve,Giffre,A-G5,Right ,A-G5-Right,2,3,1.09,64.5,4,0.40,1.3,83.8,4273,3,2,31,15.5,8.3,1,6,0,2,1,0,5,4,0.930482024,0,1,0,0.006,-0.300855464,-10.8479,-0.372666766,5,-1.7,-0.4,-0.026079291,3,3,2,4,4
45,23,Arve,Giffre,A-G6,Left ,A-G6-Left,2,2,1.193,37.4,4,0.73,4.3,162.3,7137,3,3,22,23.3,10.6,1,4,0,1,1,0,2,2,0.890760739,0,0,0,0.104,0.330750504,-27.0493,3.034337545,-4,5.8,-5.3,0.009000804,4,3,3,4,2
46,23,Arve,Giffre,A-G6,Right ,A-G6-Right,2,3,1.19,37.4,4,0.73,4.3,162.3,7137,3,2,15,20.4,9.3,1,3,2,2,1,0,3,3,0.895348875,0,1,0,0.104,0.330750504,-27.0493,3.034337545,-16,4.9,1,-0.035133148,3,3,2,4,2
47,24,Arve,Giffre,A-G7,Left ,A-G7-Left,1,1,1.482,35.4,2,1.78,12.4,438.4,5801,1,1,23,20.85,13.575,0,1,1,1,1,0,4,4,0.658585617,0,0,0,0.289,1.046958489,-2.053745455,8.055552356,1,-2.45,2.975,-0.232175122,3,2,3,4,2
48,24,Arve,Giffre,A-G7,Right ,A-G7-Right,1,3,1.48,35.4,2,1.78,12.4,438.4,5801,3,3,23,24.1,10.075,0,2,1,2,1,0,3,2,0.782287517,0,1,0,0.289,1.046958489,-2.053745455,8.055552356,8,3.7,0.775,-0.113061358,3,3,2,4,2
49,25,Arve,Giffre,A-G8,Left ,A-G8-Left,2,2,1.041,57.1,4,0.69,3.1,176.3,3322,2,3,22,11.6,7.2,0,2,2,1,1,0,4,4,0.772331632,0,0,0,-0.441,-1.083201935,21.72710101,-9.303501397,-1,-9.25,-6.375,0.113746015,1,1,1,2,3
50,25,Arve,Giffre,A-G8,Right ,A-G8-Right,2,3,1.04,57.1,4,0.69,3.1,176.3,3322,3,3,24,15.2,7.75,1,3,1,1,0,0,5,3,0.85271729,0,1,0,-0.441,-1.083201935,21.72710101,-9.303501397,1,-8.9,-2.325,0.070429773,3,3,3,4,3
51,26,Arve,Menoge,A-M1,Left ,A-M1-Left,3,3,1.252,13.6,4,1.20,8.5,115.7,7148,2,3,27,25.3,9.6,1,2,0,0,0,0,4,4,0.758697283,0,0,1,0,0,0,0,0,0,0,0,2,2,2,4,3
52,26,Arve,Menoge,A-M1,Right ,A-M1-Right,3,3,1.25,13.6,4,1.20,8.5,115.7,7148,3,3,28,24,9.5,1,4,0,2,0,1,4,4,0.885523363,0,1,1,0,0,0,0,0,0,0,0,3,3,2,4,3
53,27,Arve,Menoge,A-M2,Left ,A-M2-Left,4,3,1.444,19.2,4,2.62,18.4,352.7,7648,3,3,24,20.6,8.2,1,4,1,2,1,1,4,4,0.940873134,0,0,0,0.192,1.411929018,5.556582707,9.901668482,-3,-4.7,-1.4,0.182175852,2,2,2,4,3
54,27,Arve,Menoge,A-M2,Right ,A-M2-Right,4,4,1.44,19.2,4,2.62,18.4,352.7,7648,3,3,24,20.5,8.7,1,5,0,2,1,0,4,4,0.8927846,0,1,0,0.192,1.411929018,5.556582707,9.901668482,-4,-3.5,-0.8,0.007261237,3,3,2,4,3
55,28,Arve,Menoge,A-M3,Left ,A-M3-Left,3,3,1.339,25.6,4,1.13,7.3,187.0,9363,3,3,21,21.9,10.3,0,3,2,1,0,1,4,4,0.853128759,0,0,0,-0.105,-1.482946987,6.445981579,-11.09974707,-3,1.3,2.1,-0.087744375,3,3,3,4,4
56,28,Arve,Menoge,A-M3,Right ,A-M3-Right,3,2,1.34,25.6,4,1.13,7.3,187.0,9363,1,2,13,19.2,8.1,0,2,2,1,0,1,2,2,0.845104022,0,1,0,-0.105,-1.482946987,6.445981579,-11.09974707,-11,-1.3,-0.6,-0.047680578,3,4,3,4,4
57,29,Valserine,Valserine,V-V1,Left ,V-V1-Left,4,3,1.216,10.1,4,1.05,8.5,86.1,6286,3,3,20,23.2,10.35,0,2,1,2,1,0,3,3,0.816517105,2,0,1,0,0,0,0,0,0,0,0,3,4,4,4,4
58,29,Valserine,Valserine,V-V1,Right ,V-V1-Right,4,2,1.22,10.1,4,1.05,8.5,86.1,6286,3,2,16,17.7,6.825,0,5,1,2,2,1,4,4,0.922000947,2,1,1,0,0,0,0,0,0,0,0,3,2,3,4,4
59,30,Valserine,Valserine,V-V2,Left ,V-V2-Left,3,3,1.212,12.9,4,0.93,7.4,95.7,8818,2,2,22,19.3,8.975,0,4,2,2,0,1,3,3,0.955970846,2,0,0,-0.004,-0.120036194,2.8288375,-1.126116844,2,-3.9,-1.375,0.139453741,3,4,4,4,4
60,30,Valserine,Valserine,V-V2,Right ,V-V2-Right,3,2,1.21,12.9,4,0.93,7.4,95.7,8818,3,3,22,22.2,8.9,1,3,2,2,2,1,5,4,0.933156389,2,1,0,-0.004,-0.120036194,2.8288375,-1.126116844,6,4.5,2.075,0.011155442,3,2,3,4,4
61,31,Valserine,Valserine,V-V3,Left ,V-V3-Left,4,3,1.207,9.4,4,3.14,38.9,366.4,6048,3,3,21,26.8,7.6,0,3,2,1,1,0,3,3,0.885138128,2,0,0,-0.005,2.211618311,-3.492664773,31.4476627,-1,7.5,-1.375,-0.070832718,2,3,2,4,3
62,31,Valserine,Valserine,V-V3,Right ,V-V3-Right,4,4,1.21,9.4,4,3.14,38.9,366.4,6048,4,4,29,23.5,6,0,3,1,2,2,1,4,4,0.830072648,2,1,0,-0.005,2.211618311,-3.492664773,31.4476627,7,1.3,-2.9,-0.10308374,3,2,3,4,3
63,32,Valserine,Valserine,V-V4,Left ,V-V4-Left,2,4,1.097,20.4,4,2.23,14.0,285.1,4436,3,3,21,15.35,7.8,0,2,2,2,2,0,3,3,0.813257633,2,0,0,-0.11,-0.909794085,10.98339394,-24.88259672,0,-11.45,0.2,-0.071880495,3,3,3,4,4
64,32,Valserine,Valserine,V-V4,Right ,V-V4-Right,2,3,1.10,20.4,4,2.23,14.0,285.1,4436,3,4,23,15.65,7.6,0,5,1,2,2,1,5,4,0.963847136,2,1,0,-0.11,-0.909794085,10.98339394,-24.88259672,-6,-7.85,1.6,0.133774487,4,4,3,4,4
65,33,Valserine,Valserine,V-V5,Left ,V-V5-Left,4,2,1.161,24.3,4,1.73,10.2,246.9,7014,2,2,25,24.2,11.1,0,5,1,1,1,1,4,4,0.977153175,2,0,0,0.064,-0.50661912,3.883487179,-3.80520393,4,8.85,3.3,0.163895542,3,4,3,4,2
66,33,Valserine,Valserine,V-V5,Right ,V-V5-Right,4,2,1.16,24.3,4,1.73,10.2,246.9,7014,2,2,21,20.3,10.475,0,2,2,2,1,0,3,3,0.839023991,2,1,0,0.064,-0.50661912,3.883487179,-3.80520393,-2,4.65,2.875,-0.124823145,3,3,4,4,2
67,34,Valserine,Valserine,V-V6,Left ,V-V6-Left,2,3,1.296,28.1,4,2.40,18.8,527.0,5043,3,3,21,22.8,6.3,1,5,0,2,1,0,4,4,0.922000947,2,0,0,0.135,0.674244271,3.804692308,8.590262929,-4,-1.4,-4.8,-0.055152228,2,2,2,4,4
68,34,Valserine,Valserine,V-V6,Right ,V-V6-Right,2,3,1.30,28.1,4,2.40,18.8,527.0,5043,4,3,22,22.1,7,0,3,1,1,1,0,2,2,0.815355104,2,1,0,0.135,0.674244271,3.804692308,8.590262929,1,1.8,-3.475,-0.023668887,2,2,2,4,4
69,35,Valserine,Valserine,V-V7,Left ,V-V7-Left,3,3,1.15,35.7,4,0.88,5.6,199.9,3748,4,3,19,22.6,7.7,1,3,0,2,1,0,2,2,0.841682484,2,0,0,-0.146,-1.518895873,7.623153846,-13.15745954,-2,-0.2,1.4,-0.080318462,3,3,3,4,2
70,35,Valserine,Valserine,V-V7,Right ,V-V7-Right,3,4,1.15,35.7,4,0.88,5.6,199.9,3748,4,4,17,21.6,7.5,1,2,1,2,1,0,3,3,0.813257633,2,1,0,-0.146,-1.518895873,7.623153846,-13.15745954,-5,-0.5,0.5,-0.002097471,4,3,3,4,2
71,36,Valserine,Semine,V-S1,Left ,V-S1-Left,4,4,1.209,11.2,4,5.16,38.9,437.0,8486,3,4,17,28.3,7.4,1,3,0,1,1,0,2,2,0.841682484,2,0,1,0,0,0,0,0,0,0,0,3,4,4,4,4
72,36,Valserine,Semine,V-S1,Right ,V-S1-Right,4,2,1.21,11.2,4,5.16,38.9,437.0,8486,1,2,12,26.6,9,1,2,0,1,1,1,3,3,0.762402376,2,1,1,0,0,0,0,0,0,0,0,2,3,2,4,4
73,37,Valserine,Semine,V-S2,Left ,V-S2-Left,3,1,1.199,11.5,4,1.32,12.0,138.2,3852,1,2,13,26.3,9,1,3,1,1,0,0,3,3,0.856973491,2,0,0,-0.01,-3.837454837,0.278696429,-26.9178099,-4,-2,1.6,0.015291007,3,4,4,4,4
74,37,Valserine,Semine,V-S2,Right ,V-S2-Right,3,2,1.20,11.5,4,1.32,12.0,138.2,3852,2,3,21,21.4,8.7,0,3,0,0,0,0,4,4,0.742880265,2,1,0,-0.01,-3.837454837,0.278696429,-26.9178099,9,-5.2,-0.3,-0.019522111,2,3,2,4,4
75,38,Valserine,Semine,V-S3,Left ,V-S3-Left,3,2,1.422,22.2,4,1.61,11.0,244.5,6198,3,3,20,20.35,8.775,1,4,0,0,0,0,4,4,0.861026007,2,0,0,0.223,0.289436146,10.65570833,-0.97490782,7,-5.95,-0.225,0.004052515,2,1,2,4,3
76,38,Valserine,Semine,V-S3,Right ,V-S3-Right,3,4,1.42,22.2,4,1.61,11.0,244.5,6198,3,4,31,21,9.8,1,3,0,0,0,0,4,4,0.793707187,2,1,0,0.223,0.289436146,10.65570833,-0.97490782,10,-0.4,1.1,0.050826922,2,2,3,4,3
77,39,Valserine,Semine,V-S4,Left ,V-S4-Left,2,2,1.094,26.4,4,1.69,10.4,274.4,2966,3,3,23,20.9,7.8,1,3,0,1,0,0,3,3,0.836322046,2,0,0,-0.328,0.072348399,4.198166667,-0.623355933,3,0.55,-0.975,-0.02470396,3,2,3,4,3
78,39,Valserine,Semine,V-S4,Right ,V-S4-Right,2,3,1.09,26.4,4,1.69,10.4,274.4,2966,3,3,24,24.8,7.7,1,3,0,1,1,1,2,2,0.815355104,2,1,0,-0.328,0.072348399,4.198166667,-0.623355933,-7,3.8,-2.1,0.021647917,2,2,3,4,3
79,40,Rhone,Rhone,R-1,Left ,R1-Left,3,2,1.664,118.5,4,0.09,0.8,95.9,11621,3,2,21,20.9,6.2,1,4,0,1,0,0,5,5,0.852437536,1,0,1,0,0,0,0,0,0,0,0,3,2,2,4,3
80,40,Rhone,Rhone,R-1,Right ,R1-Right,3,4,1.66,118.5,4,0.09,0.8,95.9,11621,3,2,26,18.6,8.2,1,4,1,1,0,0,3,3,0.889727466,1,1,1,0,0,0,0,0,0,0,0,3,4,2,4,3
81,41,Rhone,Rhone,R-2,Left ,R2-Left,2,2,1.334,89.5,4,0.15,1.9,169.5,7280,3,4,25,19.1,9.4,1,4,0,0,0,0,3,3,0.85271729,1,0,0,-0.33,0.065047787,-29.00854167,1.085500296,4,-1.8,3.2,0.000279754,3,2,2,4,3
82,41,Rhone,Rhone,R-2,Right ,R2-Right,2,2,1.33,89.5,3,0.15,1.9,169.5,7280,3,3,23,17.8,7.8,1,5,0,1,1,0,5,5,0.899284909,1,1,0,-0.33,0.065047787,-29.00854167,1.085500296,-3,-0.8,-0.4,0.009557443,3,4,2,4,3
83,42,Rhone,Rhone,R-3,Left ,R3-Left,2,2,1.181,118.7,4,0.13,1.3,150.8,8461,3,3,21,17.6,9.925,0,2,1,1,1,1,3,3,0.773358033,1,0,0,-0.153,-0.021090628,29.23209722,-0.624385948,-4,-1.5,0.525,-0.079359257,3,2,4,4,2
84,42,Rhone,Rhone,R-3,Right ,R3-Right,2,3,1.18,118.7,4,0.13,1.3,150.8,8461,2,3,20,17.7,9.025,0,5,1,2,1,1,4,4,0.906430893,1,1,0,-0.153,-0.021090628,29.23209722,-0.624385948,-3,-0.1,1.225,0.007145984,3,2,3,3,2
